ID,Direction,Latitude,Longitude,Station,Material,Ca 422.673,Fe 238.204,Fe 259.941,K 766.491,Mg 285.213,Na 589.592,P 177.495,Al 167.078,Sr 407.771,Sr 421.552,S 182.034
BL-E C-2,East,-5.047875,119.3310417,C,Sediment,391215,3894,3867,NA,6889,6714,NA,NA,6487,6379,2826
BL-E C-3,East,-5.047875,119.3310417,C,Sediment,384849,2578,2541,NA,7302,7537,NA,NA,6196,6162,2810
BL-E C-1 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,16705,104,104,7204,10715,26884,NA,32.17,NA,NA,NA
BL-E C-2 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,21892,115,114,4004,10416,14540,NA,29,NA,NA,NA
BL-E C-3 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,21520,117,110,2858,10089,14021,17759,46.41,NA,NA,NA
BL-E C-4 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,21060,123,121,4378,10265,16547,NA,45,NA,NA,NA
BL-E C-6 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,16923,92,96,6509,10050,24209,19088,19.84,NA,NA,NA
BL-E 1-1,East,-5.047888889,119.3311111,D,Sediment,359801,815,824,NA,7208,7653,NA,NA,6586,6014,2239
BL-E 1-2,East,-5.047888889,119.3311111,D,Sediment,377517,768,772,NA,7269,6981,NA,NA,5932,6045,2196
BL-E 1-3,East,-5.047888889,119.3311111,D,Sediment,402139,1988,1998,NA,8936,8537,NA,NA,6976,6894,2891
BL-S A-1,South,-5.051458333,119.3283333,A,Sediment,374901,1717,1717,NA,12008,6556,NA,NA,5302,5266,2904
BL-S A-2,South,-5.051458333,119.3283333,A,Sediment,373001,1440,1447,NA,11330,6393,NA,NA,5842,5763,2612
BL-S A-3,South,-5.051458333,119.3283333,A,Sediment,361186,3639,3652,NA,12674,7017,NA,NA,4826,4827,2240
BL-S B-1,South,-5.051527778,119.3282639,B,Sediment,371395.5,1479,1481.5,NA,11852.5,6902.5,NA,NA,5650.5,5692.5,2912.5
BL-S B-2,South,-5.051527778,119.3282639,B,Sediment,366476,1429,1449,NA,11214,6533,NA,NA,5759,5562,2682
BL-S B-3,South,-5.051527778,119.3282639,B,Sediment,362464,1573.5,1600.5,NA,11223,6628,NA,NA,5749,5512,2822.5
BL-S B-1 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,21579,376,370,1690,9808,8127,NA,148,NA,NA,NA
BL-S B-2 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,17951,342,349,2334,9385,9764,NA,141,NA,NA,NA
BL-S B-3 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,18220,284,287,2504,9866,11132,NA,122.44,NA,NA,NA
BL-S B-4 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,17100.79232,308.2475101,311.3661652,3204.942375,8700.927257,12419.75024,NA,158.9627555,NA,NA,NA
BL-S B-5 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,22594,479,480,2545,9879,10154,NA,221.51,NA,NA,NA
BL-S B-6 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,19253,420,422,2636,9547,10686,NA,154.29,NA,NA,NA
BL-S B-1 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,22030,297,301,2957,10027,14318,NA,136.94,NA,NA,NA
BL-S B-2 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,21311,233,236,4331,9223,20507,NA,106,NA,NA,NA
BL-S B-3 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,23253,235,234,3483,9837,18681,NA,110.88,NA,NA,NA
BL-S B-4 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,26174,269,273,2640,9667,14021,NA,156.4,NA,NA,NA
BL-S B-5 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,22598,240,242,2953,9233,14911,NA,106.34,NA,NA,NA
BL-S B-6 TH,South,-5.051527778,119.3282639,B,Thalassia hemprichii,22275,267,269,4070,9590,16236,19625,110,NA,NA,NA
BL-S C-1,South,-5.051597222,119.3281944,C,Sediment,371939,1084,1063,NA,12802,6312,NA,NA,5220.5,5282.5,2562
BL-S C-2,South,-5.051597222,119.3281944,C,Sediment,377937.5,1222.5,1217.5,NA,13087.5,7020,NA,NA,5178,5110,2567
BL-S C-3,South,-5.051597222,119.3281944,C,Sediment,377960,1053.5,1039,NA,13155.5,8062.5,NA,NA,5653.5,5626.5,2724.5
BL-S C-1 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,18829,189,194,3867,8246,14088,NA,94,NA,NA,NA
BL-S C-2 EA,South,-5.051597222,119.3281944,C,Enhalus acoroides,22812,245,242,2680,8842,12028,NA,171,NA,NA,NA
