ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208
BL-E A-3,East,-5.047847222,119.3309028,A,Sediment,1.906,7.314,1.047,9.848,10.034,70.848,0.153,18.762
BL-E B-3,East,-5.047861111,119.3309722,B,Sediment,1.35,5.425,0.657,9.014,10.367,57.769,0.183,37.294
BL-E B-1 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.204,0.5,0.344,3.297,4.129,35.174,0.053,1.555
BL-E B-2 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.15,0.658,0.447,3.851,5.67,33.508,0.052,1.591
BL-E B-3 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.165,0.482,0.335,2.754,3.79,32.051,0.039,1.752
BL-E B-4 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.178,0.467,0.566,3.839,5.353,45.503,0.07,1.888
BL-E B-5 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.13,0.35,0.65,3.726,5.145,37.332,0.054,1.396
BL-E B-6 TH,East,-5.047861111,119.3309722,B,Thalassia hemprichii,0.218,0.392,0.457,2.738,5.895,31.303,0.045,1.061
BL-E C-1,East,-5.047875,119.3310417,C,Sediment,1.881,5.704,0.549,7.748,11.026,38.623,0.096,7.765
BL-E C-2,East,-5.047875,119.3310417,C,Sediment,1.706,4.268,0.426,6.644,4.509,36.176,0.082,4.819
BL-E C-3,East,-5.047875,119.3310417,C,Sediment,2.195,4.878,0.507,8.091,4.736,30.039,0.108,4.612
BL-E C-1 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.213,0.408,0.144,2.108,2.922,25.741,0.37,3.012
BL-E C-2 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.105,0.562,0.153,2.012,3.373,20.575,0.046,0.47
BL-E C-3 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.105,0.37,0.18,2.767,4.257,28.135,0.076,0.5
BL-E C-4 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.109,0.55,0.145,1.836,2.948,17.009,0.061,0.435
BL-E C-6 TH,East,-5.047875,119.3310417,C,Thalassia hemprichii,0.161,0.276,0.293,2.645,3.921,23.939,0.074,0.585
BL-E 1-1,East,-5.047888889,119.3311111,D,Sediment,2.105,4.535,0.388,9.493,2.59,12.257,0.088,2.224
BL-E 1-2,East,-5.047888889,119.3311111,D,Sediment,2.037,3.888,0.338,8.56,2.337,11.416,0.077,2.739
BL-E 1-3,East,-5.047888889,119.3311111,D,Sediment,2.18,4.686,0.422,7.419,5.012,13.433,0.11,4.45
BL-S A-1,South,-5.051458333,119.3283333,A,Sediment,2.174,6.634,0.507,10.011,5.718,56.331,0.117,9.138
BL-S A-2,South,-5.051458333,119.3283333,A,Sediment,2.235,6.751,0.446,9.314,9.684,47.772,0.122,8.121
BL-S A-3,South,-5.051458333,119.3283333,A,Sediment,2.149,6.499,0.587,9.156,9.211,54.692,0.128,8.517
BL-S B-1,South,-5.051527778,119.3282639,B,Sediment,2.866,8.375,0.465,9.249,17.025,42.388,0.13,10.884
BL-S B-2,South,-5.051527778,119.3282639,B,Sediment,2.146,5.641,0.293,7.586,0.704,3.522,0.079,1.732
BL-S B-3,South,-5.051527778,119.3282639,B,Sediment,2.709,8.233,0.426,8.291,15.861,38.214,0.111,11.685
BL-S B-1 EA,South,-5.051527778,119.3282639,B,Enhalus acoroides,0.121,0.841,0.454,2.008,8.184,55.976,0.075,3.92
